Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","661","Cocoa, beans","2016","2016","tonnes","95680","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","661","Cocoa, beans","2017","2017","tonnes","133999","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","135869","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","661","Cocoa, beans","2019","2019","tonnes","132471","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","661","Cocoa, beans","2020","2020","tonnes","134070","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2010","2010","1000 US$","161463","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2011","2011","1000 US$","243426","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2012","2012","1000 US$","191899","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2013","2013","1000 US$","161699","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2014","2014","1000 US$","203777","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2015","2015","1000 US$","311354","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2016","2016","1000 US$","290861","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2017","2017","1000 US$","316939","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2018","2018","1000 US$","298939","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2019","2019","1000 US$","299471","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","661","Cocoa, beans","2020","2020","1000 US$","338917","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2010","2010","tonnes","72","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2011","2011","tonnes","594","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2012","2012","tonnes","15","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2013","2013","tonnes","744","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2014","2014","tonnes","2804","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2015","2015","tonnes","4171","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2016","2016","tonnes","11094","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2017","2017","tonnes","14289","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2018","2018","tonnes","13700","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2019","2019","tonnes","13970","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","664","Cocoa, butter","2020","2020","tonnes","1012","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2010","2010","1000 US$","286","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2011","2011","1000 US$","1929","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2012","2012","1000 US$","33","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2013","2013","1000 US$","3704","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2014","2014","1000 US$","8263","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2015","2015","1000 US$","13264","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2016","2016","1000 US$","56575","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2017","2017","1000 US$","67655","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2018","2018","1000 US$","73518","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2019","2019","1000 US$","76491","","Official data"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5922","Export Value","664","Cocoa, butter","2020","2020","1000 US$","5258","*","Unofficial figure"
"TM","Detailed trade matrix","107","Côte d'Ivoire","79","Germany","5910","Export Quantity","662","Cocoa, paste","2010","2010","tonnes","7345","","Official data"
